category,group,name,http_method
platform_api,admin,adminGetGroupProviderInfo,get
platform_api,admin,adminReplaceGroupProviderInfo,put
platform_api,admin,adminListMarkingCategories,get
platform_api,admin,adminGetMarkingCategory,get
platform_api,admin,adminListMarkings,get
platform_api,admin,adminCreateMarking,post
platform_api,admin,adminGetMarkingsBatch,post
platform_api,admin,adminGetMarking,get
platform_api,admin,adminReplaceMarking,put
platform_api,admin,adminListMarkingMembers,get
platform_api,admin,adminAddMarkingMembers,post
platform_api,admin,adminRemoveMarkingMembers,post
platform_api,admin,adminListMarkingRoleAssignments,get
platform_api,admin,adminAddMarkingRoleAssignments,post
platform_api,admin,adminRemoveMarkingRoleAssignments,post
platform_api,admin,adminGetOrganization,get
platform_api,admin,adminReplaceOrganization,put
platform_api,admin,adminListAvailableRolesOrganization,get
platform_api,admin,adminListOrganizationRoleAssignments,get
platform_api,admin,adminAddOrganizationRoleAssignments,post
platform_api,admin,adminRemoveOrganizationRoleAssignments,post
platform_api,admin,adminListUsers,get
platform_api,admin,adminGetUsersBatch,post
platform_api,admin,adminGetCurrentUser,get
platform_api,admin,adminSearchUsers,post
platform_api,admin,adminGetUser,get
platform_api,admin,adminDeleteUser,delete
platform_api,admin,adminGetMarkingsUser,get
platform_api,admin,adminListGroupMemberships,get
platform_api,admin,adminGetProfilePictureOfUser,get
platform_api,admin,adminGetUserProviderInfo,get
platform_api,admin,adminReplaceUserProviderInfo,put
platform_api,admin,adminRevokeAllTokensUser,post
platform_api,connectivity,connectivityCreateConnection,post
platform_api,connectivity,connectivityGetConfigurationConnectionsBatch,post
platform_api,connectivity,connectivityGetConnection,get
platform_api,connectivity,connectivityListFileImports,get
platform_api,connectivity,connectivityCreateFileImport,post
platform_api,connectivity,connectivityGetFileImport,get
platform_api,connectivity,connectivityReplaceFileImport,put
platform_api,connectivity,connectivityDeleteFileImport,delete
platform_api,connectivity,connectivityExecuteFileImport,post
platform_api,connectivity,connectivityGetConfiguration,get
platform_api,connectivity,connectivityListTableImports,get
platform_api,connectivity,connectivityCreateTableImport,post
platform_api,connectivity,connectivityGetTableImport,get
platform_api,connectivity,connectivityReplaceTableImport,put
platform_api,connectivity,connectivityDeleteTableImport,delete
platform_api,connectivity,connectivityExecuteTableImport,post
platform_api,connectivity,connectivityUpdateExportSettingsForConnection,post
platform_api,connectivity,connectivityUpdateSecretsForConnection,post
platform_api,connectivity,connectivityUploadCustomJdbcDriversConnection,post
platform_api,connectivity,connectivityCreateVirtualTable,post
platform_api,datasets,datasetsCreateDataset,post
platform_api,datasets,datasetsGetSchemaDatasetsBatch,post
platform_api,datasets,datasetsCreateView,post
platform_api,datasets,datasetsGetView,get
platform_api,datasets,datasetsAddBackingDatasets,post
platform_api,datasets,datasetsAddPrimaryKey,post
platform_api,datasets,datasetsRemoveBackingDatasets,post
platform_api,datasets,datasetsReplaceBackingDatasets,put
platform_api,datasets,datasetsGetDataset,get
platform_api,datasets,datasetsListBranches,get
platform_api,datasets,datasetsCreateBranch,post
platform_api,datasets,datasetsGetBranch,get
platform_api,datasets,datasetsDeleteBranch,delete
platform_api,datasets,datasetsGetBranchTransactionHistory,get
platform_api,datasets,datasetsListFiles,get
platform_api,datasets,datasetsGetFile,get
platform_api,datasets,datasetsDeleteFile,delete
platform_api,datasets,datasetsGetFileContent,get
platform_api,datasets,datasetsUploadFile,post
platform_api,datasets,datasetsGetDatasetHealthCheckReports,get
platform_api,datasets,datasetsGetDatasetHealthChecks,get
platform_api,datasets,datasetsGetDatasetSchedules,get
platform_api,datasets,datasetsGetDatasetSchema,get
platform_api,datasets,datasetsGetDatasetJobs,post
platform_api,datasets,datasetsPutDatasetSchema,put
platform_api,datasets,datasetsReadTableDataset,get
platform_api,datasets,datasetsListTransactionsOfDataset,get
platform_api,datasets,datasetsCreateTransaction,post
platform_api,datasets,datasetsGetTransaction,get
platform_api,datasets,datasetsAbortTransaction,post
platform_api,datasets,datasetsCommitTransaction,post
platform_api,filesystem,filesystemCreateFolder,post
platform_api,filesystem,filesystemGetFoldersBatch,post
platform_api,filesystem,filesystemGetFolder,get
platform_api,filesystem,filesystemListChildrenOfFolder,get
platform_api,filesystem,filesystemCreateProject,post
platform_api,filesystem,filesystemCreateProjectFromTemplate,post
platform_api,filesystem,filesystemGetProject,get
platform_api,filesystem,filesystemAddOrganizations,post
platform_api,filesystem,filesystemListOrganizationsOfProject,get
platform_api,filesystem,filesystemRemoveOrganizations,post
platform_api,filesystem,filesystemGetResourcesBatch,post
platform_api,filesystem,filesystemGetByPath,get
platform_api,filesystem,filesystemGetByPathResourcesBatch,post
platform_api,filesystem,filesystemGetResource,get
platform_api,filesystem,filesystemDeleteResource,delete
platform_api,filesystem,filesystemAddMarkings,post
platform_api,filesystem,filesystemGetAccessRequirements,get
platform_api,filesystem,filesystemListMarkingsOfResource,get
platform_api,filesystem,filesystemPermanentlyDeleteResource,post
platform_api,filesystem,filesystemRemoveMarkings,post
platform_api,filesystem,filesystemRestoreResource,post
platform_api,filesystem,filesystemListResourceRoles,get
platform_api,filesystem,filesystemAddResourceRoles,post
platform_api,filesystem,filesystemRemoveResourceRoles,post
platform_api,filesystem,filesystemListSpaces,get
platform_api,mediaSets,mediaSetsUploadMedia,put
platform_api,mediaSets,mediaSetsPutMediaItem,post
platform_api,mediaSets,mediaSetsGetMediaItemRidByPath,get
platform_api,mediaSets,mediaSetsGetMediaItemInfo,get
platform_api,mediaSets,mediaSetsReadMediaItem,get
platform_api,mediaSets,mediaSetsGetMediaItemMetadata,get
platform_api,mediaSets,mediaSetsReadOriginalMediaItem,get
platform_api,mediaSets,mediaSetsGetMediaItemReference,get
platform_api,mediaSets,mediaSetsCreateMediaTransaction,post
platform_api,mediaSets,mediaSetsAbortMediaTransaction,post
platform_api,mediaSets,mediaSetsCommitMediaTransaction,post
platform_api,ontologies,ontologiesListOntologiesV2,get
platform_api,ontologies,ontologiesUploadAttachmentV2,post
platform_api,ontologies,ontologiesGetAttachmentV2,get
platform_api,ontologies,ontologiesGetAttachmentContentV2,get
platform_api,ontologies,ontologiesGetOntologyV2,get
platform_api,ontologies,ontologiesListActionTypesV2,get
platform_api,ontologies,ontologiesGetActionTypeByRid,get
platform_api,ontologies,ontologiesGetActionTypeV2,get
platform_api,ontologies,ontologiesApplyActionV2,post
platform_api,ontologies,ontologiesApplyActionBatchV2,post
platform_api,ontologies,ontologiesGetOntologyFullMetadata,get
platform_api,ontologies,ontologiesListInterfaceTypes,get
platform_api,ontologies,ontologiesGetInterfaceType,get
platform_api,ontologies,ontologiesAggregateObjectSetV2,post
platform_api,ontologies,ontologiesCreateTemporaryObjectSetV2,post
platform_api,ontologies,ontologiesLoadObjectSetV2,post
platform_api,ontologies,ontologiesLoadObjectSetV2MultipleObjectTypes,post
platform_api,ontologies,ontologiesLoadObjectSetV2ObjectsOrInterfaces,post
platform_api,ontologies,ontologiesListObjectTypesV2,get
platform_api,ontologies,ontologiesGetObjectTypeV2,get
platform_api,ontologies,ontologiesUploadMediaContent,post
platform_api,ontologies,ontologiesListOutgoingLinkTypesV2,get
platform_api,ontologies,ontologiesGetOutgoingLinkTypeV2,get
platform_api,ontologies,ontologiesListObjectsV2,get
platform_api,ontologies,ontologiesAggregateObjectsV2,post
platform_api,ontologies,ontologiesSearchObjectsV2,post
platform_api,ontologies,ontologiesGetObjectV2,get
platform_api,ontologies,ontologiesListPropertyAttachments,get
platform_api,ontologies,ontologiesGetAttachmentPropertyContentV2,get
platform_api,ontologies,ontologiesGetAttachmentPropertyByRidV2,get
platform_api,ontologies,ontologiesGetAttachmentPropertyContentByRidV2,get
platform_api,ontologies,ontologiesDecrypt,get
platform_api,ontologies,ontologiesListLinkedObjectsV2,get
platform_api,ontologies,ontologiesGetLinkedObjectV2,get
platform_api,ontologies,ontologiesReadMediaContent,get
platform_api,ontologies,ontologiesGetLatestValue,get
platform_api,ontologies,ontologiesGetFirstPoint,get
platform_api,ontologies,ontologiesGetLastPoint,get
platform_api,ontologies,ontologiesStreamPoints,post
platform_api,ontologies,ontologiesStreamValues,post
platform_api,ontologies,ontologiesExecuteQueryV2,post
platform_api,ontologies,ontologiesListQueryTypesV2,get
platform_api,ontologies,ontologiesGetQueryTypeV2,get
platform_api,ontologies,ontologiesListOntologyValueTypes,get
platform_api,ontologies,ontologiesGetOntologyValueType,get
platform_api,orchestration,orchestrationCreateBuild,post
platform_api,orchestration,orchestrationGetBuildsBatch,post
platform_api,orchestration,orchestrationGetBuild,get
platform_api,orchestration,orchestrationCancelBuild,post
platform_api,orchestration,orchestrationListJobsOfBuild,get
platform_api,orchestration,orchestrationGetJobsBatch,post
platform_api,orchestration,orchestrationGetJob,get
platform_api,orchestration,orchestrationGetScheduleVersion,get
platform_api,orchestration,orchestrationGetScheduleOfScheduleVersion,get
platform_api,orchestration,orchestrationCreateSchedule,post
platform_api,orchestration,orchestrationGetSchedulesBatch,post
platform_api,orchestration,orchestrationGetSchedule,get
platform_api,orchestration,orchestrationReplaceSchedule,put
platform_api,orchestration,orchestrationDeleteSchedule,delete
platform_api,orchestration,orchestrationGetAffectedResourcesSchedule,post
platform_api,orchestration,orchestrationPauseSchedule,post
platform_api,orchestration,orchestrationRunSchedule,post
platform_api,orchestration,orchestrationListRunsOfSchedule,get
platform_api,orchestration,orchestrationUnpauseSchedule,post
platform_api,sqlQueries,sqlQueriesExecuteSqlQuery,post
platform_api,sqlQueries,sqlQueriesCancelSqlQuery,post
platform_api,sqlQueries,sqlQueriesGetResultsSqlQuery,get
platform_api,sqlQueries,sqlQueriesGetStatusSqlQuery,get
platform_api,streams,streamsCreateStreamingDataset,post
platform_api,streams,streamsCreateStream,post
platform_api,streams,streamsGetStream,get
platform_api,streams,streamsResetStream,post
